MiniDOT Logger Concatenated Data File
Sensor:             7392-296600
Concatenation Date: 2020Sep25 15:13:52 EDT

DO concentration compensated for salinity: 0.0 (ppt)
Saturation computed at elevation: 0.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,         Eastern Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1537811520,           2018-09-24 17:52:00,           2018-09-24 13:52:00,      3.600000,     25.619000,          6.268000,                    76.722848,      0.996000
                1537813320,           2018-09-24 18:22:00,           2018-09-24 14:22:00,      3.590000,     24.902000,          6.193000,                    74.813643,      0.998000
                1537815120,           2018-09-24 18:52:00,           2018-09-24 14:52:00,      3.590000,     24.118000,          6.243000,                    74.328571,      0.996000
                1537816920,           2018-09-24 19:22:00,           2018-09-24 15:22:00,      3.590000,     23.587000,          6.251000,                    73.687241,      0.996000
                1537818720,           2018-09-24 19:52:00,           2018-09-24 15:52:00,      3.590000,     23.089000,          6.270000,                    73.219762,      0.996000
                1537820520,           2018-09-24 20:22:00,           2018-09-24 16:22:00,      3.580000,     22.508000,          6.322000,                    73.015385,      0.996000
                1537822320,           2018-09-24 20:52:00,           2018-09-24 16:52:00,      3.580000,     21.976000,          6.331000,                    72.376747,      0.995000
                1537824120,           2018-09-24 21:22:00,           2018-09-24 17:22:00,      3.580000,     21.479000,          6.377000,                    72.205276,      0.995000
                1537825920,           2018-09-24 21:52:00,           2018-09-24 17:52:00,      3.580000,     21.057000,          6.415000,                    72.040975,      0.995000
                1537827720,           2018-09-24 22:22:00,           2018-09-24 18:22:00,      3.580000,     20.872000,          6.430000,                    71.948478,      0.995000
                1537829520,           2018-09-24 22:52:00,           2018-09-24 18:52:00,      3.570000,     20.543000,          7.140000,                    79.378235,      0.995000
                1537905600,           2018-09-25 20:00:00,           2018-09-25 16:00:00,      3.480000,      6.910000,          8.107000,                    66.637334,      0.995000
                1537907400,           2018-09-25 20:30:00,           2018-09-25 16:30:00,      3.480000,      7.018000,          8.182000,                    67.434989,      0.997000
                1537909200,           2018-09-25 21:00:00,           2018-09-25 17:00:00,      3.480000,      7.106000,          8.221000,                    67.904844,      0.997000
                1537911000,           2018-09-25 21:30:00,           2018-09-25 17:30:00,      3.470000,      7.360000,          8.237000,                    68.466715,      0.997000
                1537912800,           2018-09-25 22:00:00,           2018-09-25 18:00:00,      3.470000,      7.795000,          8.276000,                    69.531927,      0.997000
                1537914600,           2018-09-25 22:30:00,           2018-09-25 18:30:00,      3.470000,      7.843000,          8.221000,                    69.151187,      0.997000
                1537916400,           2018-09-25 23:00:00,           2018-09-25 19:00:00,      3.470000,      7.756000,          8.229000,                    69.070906,      0.997000
                1537918200,           2018-09-25 23:30:00,           2018-09-25 19:30:00,      3.470000,      7.554000,          8.211000,                    68.578241,      0.996000
                1537920000,           2018-09-26 00:00:00,           2018-09-25 20:00:00,      3.460000,      7.843000,          8.214000,                    69.092307,      0.997000
                1537921800,           2018-09-26 00:30:00,           2018-09-25 20:30:00,      3.460000,      7.920000,          8.215000,                    69.231174,      0.997000
                1537923600,           2018-09-26 01:00:00,           2018-09-25 21:00:00,      3.460000,      7.891000,          8.178000,                    68.870441,      0.996000
                1537925400,           2018-09-26 01:30:00,           2018-09-25 21:30:00,      3.460000,      7.872000,          8.170000,                    68.771055,      0.997000
                1537927200,           2018-09-26 02:00:00,           2018-09-25 22:00:00,      3.460000,      7.814000,          8.174000,                    68.706974,      0.997000
                1537929000,           2018-09-26 02:30:00,           2018-09-25 22:30:00,      3.450000,      7.805000,          8.188000,                    68.809461,      0.997000
                1537930800,           2018-09-26 03:00:00,           2018-09-25 23:00:00,      3.450000,      7.785000,          8.173000,                    68.649712,      0.997000
                1537932600,           2018-09-26 03:30:00,           2018-09-25 23:30:00,      3.450000,      7.766000,          8.136000,                    68.307069,      0.997000
                1537934400,           2018-09-26 04:00:00,           2018-09-26 00:00:00,      3.450000,      7.679000,          8.130000,                    68.110967,      0.997000
                1537936200,           2018-09-26 04:30:00,           2018-09-26 00:30:00,      3.450000,      7.660000,          8.117000,                    67.970293,      0.997000
                1537938000,           2018-09-26 05:00:00,           2018-09-26 01:00:00,      3.450000,      7.621000,          8.121000,                    67.938568,      0.997000
                1537939800,           2018-09-26 05:30:00,           2018-09-26 01:30:00,      3.450000,      7.573000,          8.125000,                    67.891743,      0.996000
                1537941600,           2018-09-26 06:00:00,           2018-09-26 02:00:00,      3.440000,      7.534000,          8.128000,                    67.851571,      0.997000
                1537943400,           2018-09-26 06:30:00,           2018-09-26 02:30:00,      3.440000,      7.466000,          8.160000,                    68.004542,      0.997000
                1537945200,           2018-09-26 07:00:00,           2018-09-26 03:00:00,      3.440000,      7.476000,          8.168000,                    68.088015,      0.997000
                1537947000,           2018-09-26 07:30:00,           2018-09-26 03:30:00,      3.440000,      7.447000,          8.130000,                    67.722753,      0.997000
                1537948800,           2018-09-26 08:00:00,           2018-09-26 04:00:00,      3.440000,      7.408000,          8.131000,                    67.665872,      0.997000
                1537950600,           2018-09-26 08:30:00,           2018-09-26 04:30:00,      3.440000,      7.389000,          8.104000,                    67.409520,      0.997000
                1537952400,           2018-09-26 09:00:00,           2018-09-26 05:00:00,      3.440000,      7.350000,          8.088000,                    67.211588,      0.997000
                1537954200,           2018-09-26 09:30:00,           2018-09-26 05:30:00,      3.440000,      7.311000,          8.067000,                    66.972419,      0.997000
                1537956000,           2018-09-26 10:00:00,           2018-09-26 06:00:00,      3.440000,      7.282000,          8.051000,                    66.791613,      0.997000
                1537957800,           2018-09-26 10:30:00,           2018-09-26 06:30:00,      3.440000,      7.262000,          8.065000,                    66.874621,      0.998000
                1537959600,           2018-09-26 11:00:00,           2018-09-26 07:00:00,      3.440000,      7.194000,          8.029000,                    66.463978,      0.997000
                1537961400,           2018-09-26 11:30:00,           2018-09-26 07:30:00,      3.430000,      7.106000,          7.996000,                    66.046361,      0.997000
                1537963200,           2018-09-26 12:00:00,           2018-09-26 08:00:00,      3.430000,      6.998000,          7.973000,                    65.679734,      0.998000
                1537965000,           2018-09-26 12:30:00,           2018-09-26 08:30:00,      3.430000,      6.910000,          7.986000,                    65.642747,      0.997000
                1537966800,           2018-09-26 13:00:00,           2018-09-26 09:00:00,      3.430000,      6.851000,          7.880000,                    64.676187,      0.998000
                1537968600,           2018-09-26 13:30:00,           2018-09-26 09:30:00,      3.430000,      6.782000,          7.918000,                    64.876170,      0.997000
                1537970400,           2018-09-26 14:00:00,           2018-09-26 10:00:00,      3.430000,      6.674000,          7.931000,                    64.807342,      0.998000
                1537972200,           2018-09-26 14:30:00,           2018-09-26 10:30:00,      3.430000,      6.476000,          7.912000,                    64.331719,      0.997000
                1537974000,           2018-09-26 15:00:00,           2018-09-26 11:00:00,      3.430000,      6.258000,          7.928000,                    64.108869,      0.998000
                1537975800,           2018-09-26 15:30:00,           2018-09-26 11:30:00,      3.430000,      6.168000,          7.914000,                    63.850358,      0.997000
                1537977600,           2018-09-26 16:00:00,           2018-09-26 12:00:00,      3.430000,      6.168000,          7.946000,                    64.108535,      0.998000
                1537979400,           2018-09-26 16:30:00,           2018-09-26 12:30:00,      3.430000,      6.496000,          7.986000,                    64.966050,      0.998000
                1537981200,           2018-09-26 17:00:00,           2018-09-26 13:00:00,      3.420000,      6.456000,          8.000000,                    65.014543,      0.997000
                1537983000,           2018-09-26 17:30:00,           2018-09-26 13:30:00,      3.430000,      6.545000,          8.013000,                    65.265960,      0.998000
                1537984800,           2018-09-26 18:00:00,           2018-09-26 14:00:00,      3.430000,      6.713000,          8.018000,                    65.582252,      0.998000
                1537986600,           2018-09-26 18:30:00,           2018-09-26 14:30:00,      3.420000,      6.979000,          8.017000,                    66.010961,      0.998000
                1537988400,           2018-09-26 19:00:00,           2018-09-26 15:00:00,      3.430000,      7.135000,          8.030000,                    66.374993,      0.997000
                1537990200,           2018-09-26 19:30:00,           2018-09-26 15:30:00,      3.430000,      7.398000,          8.072000,                    67.158279,      0.998000
                1537992000,           2018-09-26 20:00:00,           2018-09-26 16:00:00,      3.430000,      7.756000,          8.139000,                    68.315483,      0.998000
                1537993800,           2018-09-26 20:30:00,           2018-09-26 16:30:00,      3.430000,      8.054000,          8.149000,                    68.900315,      0.998000
                1537995600,           2018-09-26 21:00:00,           2018-09-26 17:00:00,      3.430000,      8.255000,          8.132000,                    69.094248,      0.997000
                1537997400,           2018-09-26 21:30:00,           2018-09-26 17:30:00,      3.430000,      8.370000,          8.158000,                    69.509159,      0.998000
                1537999200,           2018-09-26 22:00:00,           2018-09-26 18:00:00,      3.430000,      8.417000,          8.215000,                    70.074700,      0.997000
                1538001000,           2018-09-26 22:30:00,           2018-09-26 18:30:00,      3.430000,      8.474000,          8.192000,                    69.975143,      0.997000
                1538002800,           2018-09-26 23:00:00,           2018-09-26 19:00:00,      3.430000,      8.427000,          8.231000,                    70.228213,      0.997000
                1538004600,           2018-09-26 23:30:00,           2018-09-26 19:30:00,      3.430000,      8.465000,          8.201000,                    70.036743,      0.997000
                1538006400,           2018-09-27 00:00:00,           2018-09-26 20:00:00,      3.430000,      8.379000,          8.200000,                    69.882281,      0.997000
                1538008200,           2018-09-27 00:30:00,           2018-09-26 20:30:00,      3.430000,      8.341000,          8.190000,                    69.732684,      0.997000
                1538010000,           2018-09-27 01:00:00,           2018-09-26 21:00:00,      3.430000,      8.617000,          8.146000,                    69.823436,      0.998000
                1538011800,           2018-09-27 01:30:00,           2018-09-26 21:30:00,      3.430000,      8.236000,          8.151000,                    69.223672,      0.998000
                1538013600,           2018-09-27 02:00:00,           2018-09-26 22:00:00,      3.430000,      8.093000,          8.124000,                    68.754359,      0.997000
                1538015400,           2018-09-27 02:30:00,           2018-09-26 22:30:00,      3.430000,      8.045000,          8.102000,                    68.487873,      0.997000
                1538017200,           2018-09-27 03:00:00,           2018-09-26 23:00:00,      3.430000,      7.997000,          8.075000,                    68.179630,      0.998000
                1538019000,           2018-09-27 03:30:00,           2018-09-26 23:30:00,      3.430000,      7.930000,          8.048000,                    67.840398,      0.998000
                1538020800,           2018-09-27 04:00:00,           2018-09-27 00:00:00,      3.430000,      7.824000,          7.996000,                    67.227270,      0.998000
                1538022600,           2018-09-27 04:30:00,           2018-09-27 00:30:00,      3.430000,      7.718000,          7.937000,                    66.557831,      0.997000
                1538024400,           2018-09-27 05:00:00,           2018-09-27 01:00:00,      3.430000,      7.525000,          7.928000,                    66.167312,      0.997000
                1538026200,           2018-09-27 05:30:00,           2018-09-27 01:30:00,      3.430000,      7.369000,          7.906000,                    65.730039,      0.997000
                1538028000,           2018-09-27 06:00:00,           2018-09-27 02:00:00,      3.430000,      7.272000,          7.868000,                    65.257269,      0.997000
                1538029800,           2018-09-27 06:30:00,           2018-09-27 02:30:00,      3.430000,      7.106000,          7.844000,                    64.790853,      0.998000
                1538031600,           2018-09-27 07:00:00,           2018-09-27 03:00:00,      3.430000,      6.930000,          7.819000,                    64.302106,      0.998000
                1538033400,           2018-09-27 07:30:00,           2018-09-27 03:30:00,      3.430000,      6.802000,          7.819000,                    64.097039,      0.998000
                1538035200,           2018-09-27 08:00:00,           2018-09-27 04:00:00,      3.430000,      6.674000,          7.811000,                    63.826774,      0.998000
                1538037000,           2018-09-27 08:30:00,           2018-09-27 04:30:00,      3.430000,      6.466000,          7.811000,                    63.494536,      0.998000
                1538038800,           2018-09-27 09:00:00,           2018-09-27 05:00:00,      3.430000,      6.218000,          7.814000,                    63.123247,      0.998000
                1538040600,           2018-09-27 09:30:00,           2018-09-27 05:30:00,      3.430000,      6.098000,          7.809000,                    62.891763,      0.998000
                1538042400,           2018-09-27 10:00:00,           2018-09-27 06:00:00,      3.430000,      5.917000,          7.839000,                    62.844335,      0.998000
                1538044200,           2018-09-27 10:30:00,           2018-09-27 06:30:00,      3.430000,      5.767000,          7.844000,                    62.645005,      0.998000
                1538046000,           2018-09-27 11:00:00,           2018-09-27 07:00:00,      3.420000,      5.625000,          7.850000,                    62.466335,      0.998000
                1538047800,           2018-09-27 11:30:00,           2018-09-27 07:30:00,      3.420000,      5.372000,          7.865000,                    62.181781,      0.997000
                1538049600,           2018-09-27 12:00:00,           2018-09-27 08:00:00,      3.420000,      5.270000,          7.877000,                    62.113768,      0.998000
                1538051400,           2018-09-27 12:30:00,           2018-09-27 08:30:00,      3.420000,      5.148000,          7.908000,                    62.162783,      0.999000
                1538053200,           2018-09-27 13:00:00,           2018-09-27 09:00:00,      3.420000,      5.045000,          7.909000,                    62.005759,      0.998000
                1538055000,           2018-09-27 13:30:00,           2018-09-27 09:30:00,      3.420000,      4.943000,          7.939000,                    62.077175,      0.998000
                1538056800,           2018-09-27 14:00:00,           2018-09-27 10:00:00,      3.420000,      4.850000,          7.968000,                    62.154165,      0.999000
                1538058600,           2018-09-27 14:30:00,           2018-09-27 10:30:00,      3.420000,      4.778000,          7.987000,                    62.186217,      0.999000
                1538060400,           2018-09-27 15:00:00,           2018-09-27 11:00:00,      3.420000,      4.675000,          8.034000,                    62.385118,      0.998000
                1538062200,           2018-09-27 15:30:00,           2018-09-27 11:30:00,      3.420000,      4.654000,          8.084000,                    62.739123,      0.999000
                1538064000,           2018-09-27 16:00:00,           2018-09-27 12:00:00,      3.420000,      4.695000,          8.117000,                    63.062384,      0.998000
                1538065800,           2018-09-27 16:30:00,           2018-09-27 12:30:00,      3.420000,      4.757000,          8.202000,                    63.825413,      0.999000
                1538067600,           2018-09-27 17:00:00,           2018-09-27 13:00:00,      3.420000,      4.912000,          8.233000,                    64.324445,      0.998000
                1538069400,           2018-09-27 17:30:00,           2018-09-27 13:30:00,      3.420000,      5.025000,          8.265000,                    64.763320,      0.998000
