Serial_number:
1079977
Project ID:
slr
Location:
usgs level logger 6
LEVEL
UNIT: m
Offset: 0.000000 m
TEMPERATURE
UNIT: °C
CONDUCTIVITY
UNIT: µS/cm
Date,Time,ms,LEVEL,TEMPERATURE,CONDUCTIVITY
10/30/2020,04:01:59 pm,0,0.0003,22.449,7.6
10/30/2020,04:31:59 pm,0,0.0106,22.140,0.0
10/30/2020,05:01:59 pm,0,-0.0355,21.990,0.0
10/30/2020,05:31:59 pm,0,-0.0188,21.268,0.0
10/30/2020,06:01:59 pm,0,0.0256,20.094,0.0
10/30/2020,06:31:59 pm,0,0.0097,18.926,0.0
10/30/2020,07:01:59 pm,0,0.0089,18.241,0.0
10/30/2020,07:31:59 pm,0,0.0079,18.061,0.0
10/30/2020,08:01:59 pm,0,0.0101,17.666,0.0
10/30/2020,08:31:59 pm,0,0.0058,17.224,0.0
10/30/2020,09:01:59 pm,0,-0.2254,16.776,0.0
10/30/2020,09:31:59 pm,0,0.0222,16.311,0.0
10/30/2020,10:01:59 pm,0,0.0073,15.791,0.0
10/30/2020,10:31:59 pm,0,0.1452,15.186,0.0
10/30/2020,11:01:59 pm,0,-0.0260,14.552,0.0
10/30/2020,11:31:59 pm,0,-0.0654,13.898,0.0
10/31/2020,12:01:59 am,0,0.1517,13.220,0.0
10/31/2020,12:31:59 am,0,0.0471,12.617,0.0
10/31/2020,01:01:59 am,0,-0.0055,12.162,0.0
10/31/2020,01:31:59 am,0,0.0109,12.574,0.0
10/31/2020,02:01:59 am,0,0.0082,12.705,0.0
10/31/2020,02:31:59 am,0,0.0070,12.572,0.0
10/31/2020,03:01:59 am,0,0.0034,12.294,0.0
10/31/2020,03:31:59 am,0,0.0089,11.940,0.0
10/31/2020,04:01:59 am,0,0.0126,11.560,0.0
10/31/2020,04:31:59 am,0,0.0061,11.166,0.0
10/31/2020,05:01:59 am,0,0.0078,10.757,0.0
10/31/2020,05:31:59 am,0,0.0094,10.361,0.0
10/31/2020,06:01:59 am,0,0.0063,9.989,0.0
10/31/2020,06:31:59 am,0,0.0085,9.619,0.0
10/31/2020,07:01:59 am,0,0.0106,9.252,0.0
10/31/2020,07:31:59 am,0,0.0054,8.888,0.0
10/31/2020,08:01:59 am,0,0.0061,8.528,0.0
10/31/2020,08:31:59 am,0,0.0049,8.177,0.0
10/31/2020,09:01:59 am,0,0.0108,7.848,0.0
10/31/2020,09:31:59 am,0,0.0081,7.567,0.0
10/31/2020,10:01:59 am,0,0.0077,7.347,0.0
10/31/2020,10:31:59 am,0,0.0077,7.179,0.0
10/31/2020,11:01:59 am,0,-0.0022,7.092,0.0
10/31/2020,11:31:59 am,0,0.0008,7.075,0.0
10/31/2020,12:01:59 pm,0,0.0005,7.107,0.0
10/31/2020,12:31:59 pm,0,0.0029,7.181,0.0
10/31/2020,01:01:59 pm,0,-0.0007,7.312,0.0
10/31/2020,01:31:59 pm,0,-0.0035,7.503,0.0
10/31/2020,02:01:59 pm,0,-0.0047,7.745,0.0
10/31/2020,02:31:59 pm,0,-0.0042,8.024,0.0
10/31/2020,03:01:59 pm,0,-0.0028,8.327,0.0
10/31/2020,03:31:59 pm,0,0.0014,8.648,0.0
10/31/2020,04:01:59 pm,0,-0.0028,8.986,0.0
10/31/2020,04:31:59 pm,0,0.0001,9.332,0.0
10/31/2020,05:01:59 pm,0,-0.0012,9.677,0.0
10/31/2020,05:31:59 pm,0,0.0026,10.016,0.0
10/31/2020,06:01:59 pm,0,0.0032,10.342,0.0
10/31/2020,06:31:59 pm,0,0.0035,10.648,0.0
10/31/2020,07:01:59 pm,0,-0.0223,10.930,0.0
10/31/2020,07:31:59 pm,0,-0.0442,11.226,0.0
10/31/2020,08:01:59 pm,0,-0.0663,11.611,0.0
10/31/2020,08:31:59 pm,0,-0.0723,12.071,0.0
10/31/2020,09:01:59 pm,0,-0.1497,12.561,0.0
